Word,Count,Probability,Direction
سي مديرا,1,0.3333333333333333,2
التعذيب في منشأة,1,0.3333333333333333,3
الإرهاب الدولي آفة,1,0.25,3
لهذا الغرض حيث,1,0.058823529411764705,3
كتائب,2,0.0,1
رئيسيين,2,0.0,1
يعود,5,0.0,1
وانضباطية,2,0.0,1
الثقة بين,1,0.5,2
أصلا لأن,1,1.0,2
للعضوتين بالمركز,1,1.0,2
أن وافق,1,0.0045662100456621,2
الصف الوطني ونبذ,1,0.2,3
يعور,2,0.0,1
العام لقوة دفاع,1,0.014084507042253521,3
طاقة الكهرباء بعد,1,0.25,3
الحرم الجامعي وتوجيه,1,0.16666666666666666,3
المحافظة وكافة,1,0.04,2
ستعاني منها,1,1.0,2
آليات حديثة ومتطورة,1,1.0,3
من المعوقات,1,8.163265306122449E-4,2
كما درب,1,0.007352941176470588,2
بالوقوف على بعض,1,1.0,3
كتابي,1,0.0,1
بحريني وبذلك,1,0.3333333333333333,2
يعنى,1,0.0,1
يعني,4,0.0,1
تشاك هيجل إنه,1,1.0,3
وطالب الدكتور,1,0.5,2
كان انفاقا,1,0.016666666666666666,2
العنيزي,1,0.0,1
شعوب,2,0.0,1
قوله يعور,1,0.3333333333333333,2
والاستقرار وبناء مؤسساته,1,0.09090909090909091,3
الوظيفي ويتعين بموجبه,1,0.2,3
الاستثمارية ويركز,1,0.3333333333333333,2
السلطة التشريعية,5,0.5,2
وذكرت المؤسسة في,1,0.16666666666666666,3
علمي بحريني قطري,1,0.25,3
من دون الإخلال,1,8.163265306122449E-4,3
مع وزير الخارجية,1,0.005747126436781609,3
بسوء نية بأحد,1,1.0,3
التفريخ,2,0.0,1
والدوحة,1,0.0,1
العاني من,1,1.0,2
وحاليا,1,0.0,1
كتابة,5,0.0,1
وأوضح ان الديمقراطيين,1,0.07142857142857142,3
الذي أدلى,2,0.011627906976744186,2
تكفي اذا,1,0.3333333333333333,2
هذه المنطقة وصعب,1,0.00558659217877095,3
الى تفاقم,1,0.0038314176245210726,2
المعاودة ان هناك,1,0.08333333333333333,3
للجيد,1,0.0,1
وبإذن من ولماذا,1,1.0,3
ذلك الاستثمار,1,0.009900990099009901,2
أسرع وإضافة المبالغ,1,0.5,3
خليفة الظهراني كان,1,0.011235955056179775,3
وسامي محمد,1,1.0,2
أغسطس عام,1,0.5,2
يعمل,6,0.0,1
يعمم,1,0.0,1
وغيابه بدون,1,1.0,2
الوضع التغذوي,1,0.07142857142857142,2
منتدى القادة في,1,0.3333333333333333,3
وفقا لاحتياجاتها وعلى,1,0.0625,3
بنائها الأخيرة,1,1.0,2
عليها ويطالبونها,1,0.024390243902439025,2
منهم اثنان في,1,0.16666666666666666,3
المحاذي لقطعة أرض,1,1.0,3
أو كليهما من,1,0.00641025641025641,3
الشريحة,3,0.0,1
اللائق المطلوب,1,0.09090909090909091,2
تتجاذب فيها,1,1.0,2
ماذا قال,2,0.5,2
الشارع المحلي من,1,0.1111111111111111,3
من قيم الإنسان,1,8.163265306122449E-4,3
والتعليم,7,0.0,1
الشرعية كالدول,1,0.2,2
أبرز مصارف الشرق,1,0.3333333333333333,3
المستقل,1,0.0,1
المالية وما,1,0.03125,2
للرئيس الظهراني وللمجلس,1,0.5,3
لدى المملكة,5,0.16129032258064516,2
اللجنة النسائية التطوعية,1,0.034482758620689655,3
اعادة توظيف,1,0.16666666666666666,2
للدكتورة سحر خيري,1,0.25,3
لأصحاب البيوت القديمة,1,0.25,3
الدكتورة جليلة العاتي,1,0.09090909090909091,3
البحرين المؤيد,1,0.006134969325153374,2
مسحة عبير ببرود,1,0.5,3
بهذا الخصوص,3,0.25,2
البحرينية عن,1,0.05,2
لكنه انتقد موقفه,1,0.3333333333333333,3
ألا ينسى أن,1,0.05263157894736842,3
علمي مهمته,1,0.25,2
سعودي وأعرب عن,1,0.5,3
تفسير مقترح,1,0.3333333333333333,2
قناة تلفزيونية تعنى,1,0.5,3
والموانع أمام,1,1.0,2
المتمسك بعدم تمويل,1,1.0,3
لتستوفي شروط تعميم,1,1.0,3
اعتبار قال النائب,1,0.16666666666666666,3
كفاءة الحليب المدعم,1,0.2,3
باعتباره مشروعا عقاريا,1,0.2,3
في كل ما,2,0.18181818181818182,3
محمد جلال الأمين,1,0.017543859649122806,3
منطقة صناعية,1,0.02857142857142857,2
مهارات جديدة,1,1.0,2
بمخالفة حكم,1,1.0,2
التطبيق بغزو واحتلال,1,0.5,3
للمصلحة,2,0.0,1
مشروع تعديل التوربينات,1,0.04,3
التي قررها المجلس,1,0.003472222222222222,3
العاملة المستخدمة,1,0.058823529411764705,2
حيث استبيحت,1,0.00980392156862745,2
الحقيقية أنور عبدالرحمن,1,0.3333333333333333,3
منتجات جديدة ومهمة,1,0.5,3
ومطروحا منه حجم,1,1.0,3
وليس لها,2,0.1,2
السمو ولي العهد,1,0.01818181818181818,3
موضوع معين,2,0.09523809523809523,2
باعتباره عضوا في,1,0.2,3
من التوصيات لعدم,1,8.163265306122449E-4,3
الالتزام بها أو,1,0.1111111111111111,3
البحرينية تحت التأسيس,1,0.05,3
بين اللجنة والوزارة,1,0.007936507936507936,3
للشئون المالية,1,0.3333333333333333,2
الشارع المحلي هو,2,0.5,3
الدفع ولم يدفعوا,1,1.0,3
مجريات,3,0.0,1
قسطا من,1,1.0,2
نخبة,3,0.0,1
وتفصيلا فالظهراني,1,0.3333333333333333,2
عالم الرياضيات وجعلت,1,0.5,3
أجانب,1,0.0,1
وتقليل,1,0.0,1
تاريخ وتراث,1,0.16666666666666666,2
بالمملكة العربية,4,0.5714285714285714,2
إلى جلسات,2,0.008264462809917356,2
والافراد أيضا,1,1.0,2
السعودية في المائة,1,0.02631578947368421,3
من جوانبها بل,1,8.163265306122449E-4,3
لمؤسسة الخليج,1,0.5,2
بدعة جديدة على,1,1.0,3
أقامت,1,0.0,1
للدول الضعيفة,1,0.5,2
في ديوان,2,0.0012911555842479018,2
الإنسان يستغرب,1,0.09090909090909091,2
الخارجية للمنزل,1,0.038461538461538464,2
هجومه لكن الحضور,1,1.0,3
العام والجهات,1,0.014084507042253521,2
البحرين بإدارة مركز,1,0.006134969325153374,3
المستقر,1,0.0,1
كاملا وشفافا,1,1.0,2
مقرا لجامعة,1,0.14285714285714285,2
للطلبة,2,0.0,1
سمعت بهذه,1,0.5,2
على رحلات الطيران,1,0.001483679525222552,3
يتبنى الأطروحات الأمريكية,1,1.0,3
المرأة في المجال,1,0.023809523809523808,3
طباعة,2,0.0,1
تنفق جزءا من,1,0.5,3
الزيارة الأخوية,1,0.1,2
لمرتكبي,1,0.0,1
المسئولين بالمملكة,1,0.09090909090909091,2
يتطرق الدكتور,1,1.0,2
المتحدة الأمريكية وذلك,1,0.02,3
والأزمات القادمة المتوقعة,1,0.25,3
وانضباطية عالية,1,0.5,2
يود العضو الاستفسار,1,1.0,3
نشوء بيئة,1,1.0,2
الرائدة في مجال,2,0.6666666666666666,3
مجال البحوث,1,0.034482758620689655,2
الجامعة على أن,1,0.05555555555555555,3
الجمعية السعودية,1,0.025,2
خامسا كيفية التعامل,1,0.3333333333333333,3
والاحترام المتبادل,2,1.0,2
مايو وتم تشكيل,1,0.16666666666666666,3
الوسط مرفق نسخة,1,0.05263157894736842,3
البارود,2,0.0,1
الخطوات التي من,1,0.5,3
زيارة الجامعة منذ,1,0.1111111111111111,3
اعتبار ومن كرامة,1,0.16666666666666666,3
تحسين الدخل,1,0.1111111111111111,2
سلمان علي السماهيجي,1,0.02564102564102564,3
يمتثل العضو,1,0.3333333333333333,2
وبذلك يصبح,1,0.16666666666666666,2
والذي بدأ المجرم,1,0.037037037037037035,3
الشعب الفلسطيني عدا,1,0.043478260869565216,3
التي ستلبي هذه,1,0.003472222222222222,3
بالإنسان المعوق ولفت,1,1.0,3
وتعيين,2,0.0,1
واننا في,1,1.0,2
ان معدل,1,0.002369668246445498,2
في حربها,2,0.0012911555842479018,2
الحنيف ويتعارض,1,1.0,2
وإبراز التحليلات,1,0.5,2
الفتيات,1,0.0,1
أولا ألا,1,0.07692307692307693,2
العبدالله عبدالعزيز,1,1.0,2
فتح في الوقت,1,0.0625,3
الاندماج,1,0.0,1
بدعم المرأة البحرينية,1,0.25,3
عاتق المركز والخدمات,1,0.25,3
قدموا أداء,1,0.3333333333333333,2
فلسطينيا,2,0.0,1
الطلبات ذات,1,0.5,2
فلسطينية,8,0.0,1
نرفع من انتاجية,1,1.0,3
ومناطق البحرين,1,0.3333333333333333,2
أنشطة,4,0.0,1
صرحوا,1,0.0,1
جافين آرثر,1,1.0,2
والاكاديميات,1,0.0,1
القيادة الحكيمة,1,0.2,2
والكهربائية في دول,1,0.3333333333333333,3
البديلة,2,0.0,1
لمطار دبي,1,1.0,2
القانون رابعا إن,1,0.05,3
مخزنة بالحاسوب,1,1.0,2
المسلمين والعرب التي,1,0.3333333333333333,3
الجمعية والناطق الإعلامي,1,0.025,3
ان تحميل الرئيس,1,0.002369668246445498,3
وأكدت العبادي,2,0.2857142857142857,2
اكدت الخارجية,1,0.5,2
انها مسؤولة عن,2,1.0,3
رياحها,1,0.0,1
أخرى لإلهاء,1,0.02127659574468085,2
في المنطقة وسلامة,1,6.455777921239509E-4,3
اسيا,2,0.0,1
ومواجهة مشاكلهم,1,0.5,2
النفط فالمتوقع ان,1,0.037037037037037035,3
رفض الطالب أو,1,0.14285714285714285,3
كانت الأجوبة بنعم,1,0.03333333333333333,3
المالية ومع,1,0.03125,2
والصحة والاسكان والتخطيط,1,0.16666666666666666,3
وذلك حرصا,1,0.017857142857142856,2
استثمار,3,0.0,1
في مسيرتها,1,6.455777921239509E-4,2
بطرق قانونية,1,0.5,2
فوق سعر,1,0.2,2
أجل السلام,1,0.04,2
ويوجه الجزء الثالث,1,1.0,3
يناير القادم أما,1,0.1,3
التعاون الفني مع,1,0.020833333333333332,3
عن صناعة,1,0.004219409282700422,2
الدور الرائد,1,0.25,2
الوقت اذ,1,0.05,2
شخصيتها الاعتبارية,1,1.0,2
الأمة العربية ان,1,0.125,3
عاتق,4,0.0,1
ويكابر فيه فيما,1,1.0,3
الهامة ولأعضاء,1,0.5,2
ساعة فإذا استمر,1,0.07692307692307693,3
لها وأخيرا تصدر,1,0.02,3
لتطور وتنامي هذه,1,1.0,3
العقبات التي تواجه,1,1.0,3
وهناك يطل علينا,1,0.25,3
صادر فلماذا نخلق,1,0.5,3
وتضمين حلقات,1,1.0,2
رابعا نسبة المكافأة,1,0.25,3
الجديد في البحرين,1,0.07142857142857142,3
هي الحقيقة,1,0.023809523809523808,2
تحرير جريدة,1,0.16666666666666666,2
والدولة,1,0.0,1
في تطوير وتسهيل,1,6.455777921239509E-4,3
في الجلسة المذكورة,1,6.455777921239509E-4,3
يرفضه جميع النواب,1,1.0,3
تمكنت دول قليلة,1,0.2,3
وعن تكلفة,1,0.2,2
والقانون وهذه,1,0.3333333333333333,2
أفريقيا التي,1,0.25,2
المماثلة من,1,0.5,2
من مكانة مطار,1,8.163265306122449E-4,3
منحه القروض,1,1.0,2
بتراث وعادات,1,0.5,2
هذا الجدار نوع,1,0.005208333333333333,3
إلى سنة كما,1,0.004132231404958678,3
كما استعرض جلالة,1,0.007352941176470588,3
مداخلة يقول,1,0.5,2
والاقتصادية ولما رأى,1,0.2,3
الناحية القانونية والإدارية,1,0.3333333333333333,3
واقتصاديا وسياسيا,1,0.5,2
لمواكبتها الى العراق,1,1.0,3
ذكر الأسباب قد,1,0.125,3
العالمية التي,2,0.06666666666666667,2
رؤية الوسائل,1,0.3333333333333333,2
والأزمات وتكرارها في,1,0.25,3
رأت,2,0.0,1
القوة التجارية,1,0.25,2
تزال معلقة على,1,0.5,3
ان العالم وبعد,1,0.002369668246445498,3
الكبيرة في الضفة,1,0.3333333333333333,3
الانسان وعلى,1,0.05263157894736842,2
العراقية والجنود الامريكيين,2,1.0,3
على الجميع أن,1,0.001483679525222552,3
أعداد,2,0.0,1
الحساب ومن,1,1.0,2
انتقادات بوجود,1,1.0,2
الى مليمترات وصرح,1,0.0038314176245210726,3
رأب,1,0.0,1
فان الولايات المتحدة,1,0.04,3
وقع خلاله,1,0.125,2
الرسالة الأولى,1,0.3333333333333333,2
والرياضة لمرضى,1,1.0,2
للاتحاد العربي لأطباء,1,0.5,3
خليفة الظهراني قرر,1,0.011235955056179775,3
أكذب وأكذب ثم,1,0.5,3
من مساجد ودعاة,1,8.163265306122449E-4,3
المستوى,10,0.0,1
سيقومون,1,0.0,1
في استقبال,1,6.455777921239509E-4,2
النواب بشأن,3,0.02586206896551724,2
للمدرسين وذلك,1,1.0,2
الذي يقوم,2,0.011627906976744186,2
فالاصلاح يقع تحت,1,1.0,3
عراقية ضبطت قبل,1,1.0,3
على أوامر من,1,0.001483679525222552,3
رأي,5,0.0,1
الأخيرة للمجلس,1,0.09090909090909091,2
او العاصفة الاولى,1,0.041666666666666664,3
ذكر,8,0.0,1
ثلاثة أيام,1,0.0625,2
للمرأة للمؤسسات,1,0.037037037037037035,2
رأى,1,0.0,1
القدس بطول كيلومترا,1,0.1111111111111111,3
موزعة,2,0.0,1
براتب تقاعدي,1,0.3333333333333333,2
والتهجير,1,0.0,1
والدول الرأسمالية,1,0.25,2
المؤتمر متسائلا,1,0.02564102564102564,2
رأس,19,0.0,1
الهائل في حجم,1,1.0,3
والباحثيين وفي مجال,1,1.0,3
حين أن,1,0.1111111111111111,2
المتشنجة أن,1,1.0,2
بليغة مع أمطار,1,0.3333333333333333,3
الأساسية في المجتمع,1,0.08333333333333333,3
والجماعات الاسلامية ليست,1,1.0,3
لتنوع برامجها,1,1.0,2
نقول ذلك,1,0.25,2
هيئات للجودة,1,0.3333333333333333,2
القانون بما,1,0.05,2
من الجيش العراقي,2,0.6666666666666666,3
كانت النسبة المقررة,1,0.03333333333333333,3
المجاملة ويقول وهذه,1,1.0,3
وبوجود أكبر,1,1.0,2
اسكوتلاند يارد وجاء,1,1.0,3
وأما في,1,0.5,2
يعطي,1,0.0,1
جميع الأطراف,2,0.058823529411764705,2
لمرافق الكهرباء وترشيد,1,0.5,3
حضور هذه اللجان,1,0.09090909090909091,3
المكرمة هي التي,1,0.043478260869565216,3
لكي تتفادى القرية,1,0.25,3
في الجلسة الافتتاحية,2,0.16666666666666666,3
الانسحاب من,5,0.7142857142857143,2
هو حكم القانون,1,0.011235955056179775,3
وتعتبر شركة,2,0.5,2
اجتماع المجلس يوم,1,0.08333333333333333,3
العالم بأكمله مشيرا,1,0.0196078431372549,3
الشعب المصري,1,0.043478260869565216,2
هذه الاتفاقية نتيجة,1,0.00558659217877095,3
القاهرة على هذه,1,0.25,3
لهذا فإن,1,0.058823529411764705,2
إنرجي سبرنج ال,1,1.0,3
الى ان التوتر,2,0.09523809523809523,3
شئون المجلس,1,0.1,2
نجيب,2,0.0,1
ذلك,101,0.0,1
بعد عام إلا,1,0.01282051282051282,3
عائد,1,0.0,1
أهم الصناعات,1,0.06666666666666667,2
والشروط لاستحقاق الموظف,1,0.5,3
لاطلاق هذه الخطة,1,1.0,3
بمحامين وزير البلديات,1,0.5,3
تقرر خلال الاجتماع,1,0.2,3
وبلورة ضمانات تكفل,1,1.0,3
الأخيرة الى,1,0.09090909090909091,2
في التدريب والعمل,1,6.455777921239509E-4,3
للقارىء كما يهمها,1,1.0,3
استيفاء الموظفين,1,0.5,2
والمبنية على,1,1.0,2
إلى المدن الجامعية,1,0.004132231404958678,3
الأمريكي بهذه المقدمة,1,0.14285714285714285,3
والمتقطعة,1,0.0,1
ثم بالتنبيه الشفاهي,1,0.02857142857142857,3
أخطاءهم واساءاتهم,1,0.5,2
في كل من,3,0.2727272727272727,3
الخلافات,3,0.0,1
مطالبتنا,1,0.0,1
تقبلها تقاليد مجتمع,1,1.0,3
بادىء الأمر سوف,1,1.0,3
وردت حول تقصي,1,1.0,3
المستمر,2,0.0,1
الخليل واستمرت,1,0.1,2
حقيقيا كبيرا,1,1.0,2
التعامل مع القضايا,1,0.1,3
الاقتصاد الوطني ومسيرة,1,0.047619047619047616,3
ان يتراوح سعر,1,0.002369668246445498,3
ضرائب,2,0.0,1
اسرة,1,0.0,1
هو وليس,1,0.011235955056179775,2
آملا,1,0.0,1
منذ عام قامت,1,0.034482758620689655,3
للتصرف في حالة,1,1.0,3
المطاعم الكبرى,1,0.5,2
بدأنا نحصد,1,1.0,2
الإجراءات من شركة,1,0.08333333333333333,3
الاردني من,1,0.2,2
مدير مكتب سمو,1,0.125,3
من النجاح في,1,8.163265306122449E-4,3
الدستور,6,0.0,1
وإزالة أسباب الشد,1,0.5,3
الجبارة المنتشرة,1,1.0,2
في الأصول,1,6.455777921239509E-4,2
تقدير القسم الذي,1,0.058823529411764705,3
الجانب بما يتوافق,1,0.1,3
رام,1,0.0,1
مثل سحابة,1,0.03125,2
الآن وبكل,1,0.07692307692307693,2
حيث أدار الحوار,1,0.00980392156862745,3
الاقتصاد فنلاحظ,1,0.047619047619047616,2
القرار اشاد,1,0.06666666666666667,2
متى ما توافرت,1,0.3333333333333333,3
الباب لمشاركة المجتمع,1,0.3333333333333333,3
أو مجموعات,1,0.00641025641025641,2
ملائم لهم أو,1,0.5,3
عمر الوقود,1,0.2,2
وصيانة السيارات وصيانة,1,0.5,3
يعلم,2,0.0,1
قرار التقسيم,1,0.0625,2
السيد احمد سلطان,1,0.01694915254237288,3
العربية وقال,1,0.011363636363636364,2
ان وقت عبور,1,0.002369668246445498,3
والتدافع الاجتماعي أثناء,1,1.0,3
وهذا المشروع سوف,1,0.04,3
هي الا,1,0.023809523809523808,2
المستقر في الشرق,1,1.0,3
على بقية,1,0.001483679525222552,2
في دهون الدم,1,6.455777921239509E-4,3
ان عدد,2,0.004739336492890996,2
بتونس يليها عدد,1,0.3333333333333333,3
فعلى الأقل ان,2,1.0,3
وهي جوانب اجتماعية,1,0.041666666666666664,3
اسفر,1,0.0,1
ربط,1,0.0,1
تدمير القاعة المخصصة,2,1.0,3
رئيس لجنة الاغاثة,1,0.008333333333333333,3
من وزير,2,0.0016326530612244899,2
التقليدية ويترأس,1,0.5,2
غازات الدفيئة بنسبة,1,0.14285714285714285,3
المرأة دائما ان,1,0.023809523809523808,3
علنا للحكومة,1,1.0,2
كثيرا أن يطلع,1,0.125,3
أن الدخل,1,0.0045662100456621,2
وحقوق المعوقين,1,0.14285714285714285,2
ذوي,6,0.0,1
أقل من,5,0.8333333333333334,2
جاهدة لحفظ,1,1.0,2
بن ابراهيم,1,0.009433962264150943,2
تنفيذ المسلكية التي,1,0.07142857142857142,3
أرباح سنوية وفي,1,0.5,3
الوحيدة,4,0.0,1
عقابا,1,0.0,1
قولهم,1,0.0,1
للبرميل فانه,1,0.5,2
برقية شكر جوابية,1,1.0,3
الإيجابي للاستفادة من,1,1.0,3
وأكاديمية,1,0.0,1
والتخطيط العمراني,1,0.16666666666666666,2
التالية تأثير نخالة,1,0.125,3
في المخزونات,1,6.455777921239509E-4,2
الأمة العربية الركوع,1,0.125,3
يعكر,1,0.0,1
من تلك,1,8.163265306122449E-4,2
إقليم الشرق الأوسط,2,1.0,3
يعكس,1,0.0,1
التي من شأن,1,0.003472222222222222,3
موقف الحكومات العربية,1,0.07692307692307693,3
ما لم يحدث,1,0.005988023952095809,3
أكدت في وقت,2,1.0,3
دول الخليج حال,1,0.024390243902439025,3
الاختلاف في,2,0.6666666666666666,2
أوضاع سكنية واجتماعية,1,0.25,3
الامكان مثل قضايا,1,1.0,3
مخططها وأجاب على,1,0.5,3
ان عدم,1,0.002369668246445498,2
وحرية,4,0.0,1
يعقب,2,0.0,1
يعفو,1,0.0,1
والموجود على جدول,1,1.0,3
لتصل الى عملها,1,0.3333333333333333,3
لضمان,3,0.0,1
حق الجهة المختصة,1,0.045454545454545456,3
وندعو لذلك,1,1.0,2
جزء منها وفيما,1,0.16666666666666666,3
يعقد,2,0.0,1
عام وحاليا تسعى,1,0.014925373134328358,3
أنظمة القطاع الخاص,1,0.3333333333333333,3
صيف سوف تزول,2,0.6666666666666666,3
عادل,8,0.0,1
شركات ذات رؤوس,1,0.08333333333333333,3
نحصد,1,0.0,1
كمية كافية,1,0.3333333333333333,2
السنة هذا,1,0.08333333333333333,2
شحادة,3,0.0,1
الجنسين الذين,1,0.125,2
دراستها والوقوف على,1,1.0,3
والمنتظر,1,0.0,1
الرئيس واحترام,1,0.020833333333333332,2
من الباحثين فعلى,1,8.163265306122449E-4,3
فطالبوا برفعها وهنا,1,1.0,3
الجامعة مؤهلة لذلك,1,0.05555555555555555,3
العجز العربي واللاإصلاح,1,0.5,3
الدكتور مالك بطل,1,0.024390243902439025,3
الجوانب التالية,1,0.25,2
عادة,4,0.0,1
وكيل الوزارة محمود,1,0.2,3
بقائمة بأسماء,1,1.0,2
اقامة الجدار,2,0.4,2
كلمة قال,1,0.09090909090909091,2
وزير الخارجية الإرهاب,1,0.015151515151515152,3
احد الكابلات جهد,1,0.1,3
إدارة سيدات,1,0.03571428571428571,2
رجل,6,0.0,1
والذي يشارك,1,0.037037037037037035,2
لذا يجب إخضاع,1,0.3333333333333333,3
والعلاج ولا يمكن,1,0.5,3
رحب,2,0.0,1
ببعض المزارع,1,0.3333333333333333,2
دعم المجموعات الارهابية,1,0.07692307692307693,3
أنفسنا أمام تطور,1,0.2,3
محليا,2,0.0,1
بعض القرارات,2,0.029411764705882353,2
الصحة والسعادة,2,0.13333333333333333,2
الوضع الفلسطيني وحضرها,1,0.07142857142857142,3
محلية,3,0.0,1
مستويات,8,0.0,1
قال المحاضر ان,1,0.02702702702702703,3
رخص,1,0.0,1
عجائب,1,0.0,1
فوق كل اعتبار,2,1.0,3
دكتاتورية,1,0.0,1
والمشكلات التي يعانيها,1,0.5,3
اياد شخيدم كما,1,1.0,3
أنفسهم واذا شذ,1,0.5,3
فهي تمثل,1,0.1,2
من جهة ثانية,1,8.163265306122449E-4,3
كيفية تطوير عوامل,1,0.07142857142857142,3
استراتيجية فعالة لمواجهتها,1,0.25,3
يتحول بواسطة,1,0.5,2
جيل أو جيلين,1,1.0,3
زميل له في,1,1.0,3
المستثمرة وسيدة,1,0.3333333333333333,2
لحل المشكلة,2,0.2857142857142857,2
بضرورة اتخاذ كافة,1,1.0,3
وانزعاجهم الشديد من,1,1.0,3
رحى,1,0.0,1
سبيل المثال,11,0.9166666666666666,2
بلا مأوى في,1,0.25,3
كان تدريب المرأة,1,0.016666666666666666,3
وما أدلت به,1,0.03571428571428571,3
الفكر ويحرك عملية,1,0.5,3
من أهالي هؤلاء,1,8.163265306122449E-4,3
الروسي,2,0.0,1
تقرير الوطني,1,0.05555555555555555,2
من يطلب الكلمة,1,8.163265306122449E-4,3
أرادوا,1,0.0,1
م فانه,1,0.047619047619047616,2
اشاد المحاضر بهذا,1,1.0,3
الآن عملية لإعادة,1,0.07692307692307693,3
وهنا احتج النواب,1,0.25,3
الفلسطينية وقالت ان,1,0.03225806451612903,3
السلطات التشريعية والتنفيذية,1,0.1111111111111111,3
ردا,2,0.0,1
ردة,2,0.0,1
قطاع الكهرباء,1,0.047619047619047616,2
الصحيحة سابعا النموذج,1,0.5,3
الموحدة التي تنمو,1,0.25,3
